,дата,well_name,q_std,P_res,P_bhp,P_thp
0,2555.0,well_3,488763.0477629396,98.96309955972447,71.05671840967827,19.133648525232456
1,0.0,well_3,495657.3592420946,100.0,72.01505463063519,19.383816166782598
2,10585.0,well_3,467201.98241795716,95.7074639848082,68.05469514552537,18.350489345429075
3,2555.0,well_3,488763.0477629396,98.96309955972447,71.05671840967827,19.133648525232456
4,3285.0,well_2,393690.67667139386,98.66692848142448,82.60627945292632,19.062255394814105
5,2555.0,well_2,395192.1110678278,98.96309955972447,82.89304940457082,19.133648525232452
6,4380.0,well_2,391440.24269750307,98.22274557083138,82.17626204277725,18.955238909021766
7,9490.0,well_3,470132.19854029646,96.15111189009437,68.46312505371347,18.456995475317253
8,10585.0,well_1,170882.81036054928,95.7074639848082,82.03741465284315,18.35048934542924
9,8760.0,well_3,472087.4811000677,96.44693226715957,68.73558464801967,18.528052145103633
10,5110.0,well_1,175576.28290094726,97.92667351097093,84.22341597282205,18.883943875775593
11,6935.0,well_3,476981.9286754935,97.18667179805361,69.41732859602952,18.705875291254795
12,8760.0,well_1,172445.73778160286,96.44693226715957,82.76569468441075,18.528052145103878
13,2920.0,well_1,177457.48101076804,98.81500914848736,85.09873372962497,19.097947101831423
14,5475.0,well_1,175262.96224698515,97.77865264014919,84.07758123507169,18.848311299022313
15,2190.0,well_1,178085.02664732625,99.11119965357635,85.39062170054379,19.169359616196648
16,2920.0,well_2,394441.27959739824,98.81500914848736,82.74965534664513,19.09794710183148
17,8030.0,well_1,173071.35659893716,96.74279603892687,83.05711968345733,18.599150472944352
18,1095.0,well_2,398197.6836477427,99.55555741542307,83.46680101617986,19.27654921176906
19,2555.0,well_2,395192.1110678278,98.96309955972447,82.89304940457082,19.133648525232452
20,1460.0,well_2,397445.9677656776,99.40742864641722,83.32333952004535,19.24081064895339
21,8760.0,well_2,382459.19740468217,96.44693226715957,80.45783000711936,18.528052145103892
22,2555.0,well_1,177771.22413409664,98.96309955972447,85.24467062073445,19.133648525232537
23,4745.0,well_3,482866.41277158406,98.07470450971715,70.23645859003679,18.91958642632961
24,5475.0,well_2,389191.88932170527,97.77865264014919,81.74641233642895,18.84831129902224
25,5110.0,well_1,175576.28290094726,97.92667351097093,84.22341597282205,18.883943875775593
26,4015.0,well_2,392190.15797351906,98.3707966293183,82.3195826669247,18.990901265435102
27,1460.0,well_1,178712.808892893,99.40742864641722,85.6825660332219,19.240810648953435
28,5110.0,well_3,481884.83569910977,97.92667351097093,70.09986037202223,18.883943875775653
29,2920.0,well_1,177457.48101076804,98.81500914848736,85.09873372962497,19.097947101831423
30,3650.0,well_2,392940.30251538876,98.51885762072077,82.4629218566391,19.02657343501921
31,6570.0,well_1,174323.35040495076,97.33465146168962,83.64015840403708,18.741470670688884
32,5840.0,well_1,174949.70291832637,97.63064196351388,83.93176150591202,18.81268874079948
33,8760.0,well_2,382459.19740468217,96.44693226715957,80.45783000711936,18.528052145103892
34,1460.0,well_3,491715.9211978358,99.40742864641722,71.46727192493886,19.240810648953396
35,2555.0,well_2,395192.1110678278,98.96309955972447,82.89304940457082,19.133648525232452
36,2920.0,well_1,177457.48101076804,98.81500914848736,85.09873372962497,19.097947101831423
37,10585.0,well_1,170882.81036054928,95.7074639848082,82.03741465284315,18.35048934542924
38,6570.0,well_1,174323.35040495076,97.33465146168962,83.64015840403708,18.741470670688884
39,9855.0,well_3,469155.097484825,96.00321815870262,68.32694697059065,18.42148287550563
40,5475.0,well_2,389191.88932170527,97.77865264014919,81.74641233642895,18.84831129902224
41,9855.0,well_3,469155.097484825,96.00321815870262,68.32694697059065,18.42148287550563
42,365.0,well_2,399701.7270336987,99.85184314993242,83.75376468557673,19.348051074398093
43,3285.0,well_3,486796.1447722783,98.66692848142448,70.78317186285942,19.06225539481417
44,2190.0,well_2,395943.1699755431,99.11119965357635,83.03646153034406,19.169359616196697
45,9490.0,well_2,380965.6540298958,96.15111189009437,80.17169175428108,18.456995475317697
46,1460.0,well_1,178712.808892893,99.40742864641722,85.6825660332219,19.240810648953435
47,7665.0,well_2,384701.3199877915,96.89074401642384,80.88718775248691,18.634715146490382
48,7300.0,well_1,173697.22816527635,97.03870262632033,83.34860788583629,18.670290098571762
49,365.0,well_3,494671.5217268802,99.85184314993242,71.87806569975646,19.348051074397986
